NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCR;PCR;PERC_PCR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS
CATALUNYA;CATALUNYA;2020-07-27;2020-08-02;Si;;;297.5181;193;6084.4766;3947;5.6526;60;0;27
CATALUNYA;CATALUNYA;2020-07-27;2020-08-02;No;177.176;1.0625;83.2129;6330;998.9756;75992;8.5027;469;86;45
CATALUNYA;CATALUNYA;2020-07-26;2020-08-01;No;177.197;1.05995;83.5021;6352;1010.1890;76845;8.5412;515;95;47
CATALUNYA;CATALUNYA;2020-07-26;2020-08-01;--;;;0.0000;118;0.0000;1093;7.3832;84;5;0
CATALUNYA;CATALUNYA;2020-07-26;2020-08-01;Si;;;297.5181;193;6092.1843;3952;5.6990;56;0;28
CATALUNYA;CATALUNYA;2020-07-25;2020-07-31;Si;;;306.7673;199;5991.9839;3887;5.7888;60;0;28
CATALUNYA;CATALUNYA;2020-07-25;2020-07-31;No;177.544;1.05654;83.6072;6360;1008.6904;76731;8.4769;510;97;49
CATALUNYA;CATALUNYA;2020-07-25;2020-07-31;--;;;0.0000;121;0.0000;1112;7.3394;76;4;0
CATALUNYA;CATALUNYA;2020-07-24;2020-07-30;--;;;0.0000;130;0.0000;1087;8.1461;74;2;0
CATALUNYA;CATALUNYA;2020-07-24;2020-07-30;Si;;;314.4751;204;5876.3681;3812;6.0661;70;0;27
CATALUNYA;CATALUNYA;2020-07-24;2020-07-30;No;175.929;1.06197;82.6607;6288;1009.0585;76759;8.2824;549;100;46
CATALUNYA;CATALUNYA;2020-07-23;2020-07-29;No;178.029;1.08506;83.4101;6345;1017.8399;77427;8.1717;581;106;38
CATALUNYA;CATALUNYA;2020-07-23;2020-07-29;--;;;0.0000;154;0.0000;1070;8.9354;76;2;0
CATALUNYA;CATALUNYA;2020-07-23;2020-07-29;Si;;;279.0195;181;5938.0299;3852;5.0908;78;0;25
